listing_id,price_sold,suburb,property_type,bedrooms,bathrooms,parking,land_size_m2,building_size_m2,is_strata,latitude,longitude,dist_cbd_km,dist_transport_km,sold_by_auction,sale_year,description
151860056,1010000,Bondi,Apartment,2,1,0,,,1,-33.891968,151.25935,5.29,1.386,1,2026,"Quietly set to the rear of a secure Art Deco block of twelve in one of Bondi's most sought-after streets, this refreshed apartment delivers timeless character with everyday lifestyle appeal between the golden sands of Bondi Beach and Westfield's vibrant hub. Warm and inviting and bathed in natural light, it reveals a wonderfully spacious layout with a generous living area and a well-appointed eat-in gas kitchen with ample cupboard storage. The bedrooms are peacefully tucked away from the living areas, both are appointed with built-in robes, while a study adjoins the second bedroom adding flexibility for those working from home. Presenting an outstanding opportunity for first homebuyers and investors alike, it is placed a stroll to South Bondi village, shops, boutiques, wine bars and top eateries, while surrounded by gyms, yoga and Pilates studios and moments to Bondi Junction Station. Property Features: - Wonderfully spacious layout w/ separate living/dining areas - Freshly painted throughout, polished timber floorboards - Neat eat-in kitchen with gas cooktop, ample cupboard storage - Well-sized bedrooms appointed with mirrored built-in robes - Sizeable sunroom/study, picture windows frame leafy outlooks - Full bright and airy bathroom with separate bath and shower - High ceilings, decorative cornices, picture rails, AV intercom - Superb first home/investment with strong rental return - Comfortable as is with scope to add your creative stamp - Secure Art Deco block of twelve w/ access to communal garden - Stroll to South Bondi's vibrant hub, cafés, bars & eateries - Walk to Waverley Oval, Bondi Beach and express city buses - Stroll to Westfield's retail, dining and entertainment hub - Walk to gyms, yoga/Pilates studios, Bondi Junction Station"
151224364,650000,Bondi,Apartment,1,1,0,,,1,-33.893208,151.26137,5.52,1.223,0,2026,"Perfectly positioned in the heart of Bondi, this renovated one-bedroom apartment offers a seamless blend of lifestyle, comfort and convenience. Quietly set at the rear of a boutique security building of just 12 apartments, this light-filled residence showcases soaring 3.2m high ceilings, polished timber floorboards and stylish contemporary finishes throughout. Featuring dual access via Bondi Road and Penkivil Street, it is just moments to Bondi Beach, vibrant cafés and Bondi Junction's shopping and transport hub, presenting an exceptional opportunity for first home buyers, investors or those seeking the ultimate beachside lifestyle. * Boutique security block of only 12 apartments * Quiet rear position with dual street access * Light-filled open living with 3.2m ceilings * Polished timber floorboards throughout * Modern stone kitchen with dishwasher * Stylish bathroom with marble mosaic finishes * Generous bedroom with built-in wardrobes * Internal laundry and ample storage space Century 21 Armstrong-Smith are real estate experts based in the heart of Bondi Junction in the Eastern Suburbs and are proud to present this fantastic property. We look forward to offering you world class customer service for the 21st Century."
151373964,2350000,Bondi,Apartment,3,2,1,,137,1,-33.89017,151.26212,5.424,1.126,1,2026,"Light, materiality and wide northerly vistas define this newly transformed apartment, where house-like proportions and refined design come together to create a private sanctuary with the atmosphere of a dreamy Mediterranean retreat. Occupying half a floor of a boutique collection of only 14, the family-sized residence is bathed in all-day sunshine with panoramic valley views that transform into a magical backdrop by night. Meticulously renovated with an uncompromising focus on quality and craftsmanship, the interiors are anchored by a timeless palette of Taj Mahal marble, European Oak and brushed brass, creating a sense of warmth, cohesion and understated luxury throughout. Generous living and dining spaces connect effortlessly to the outlook, while three double bedrooms include a luxurious master retreat opening to a wraparound NW-facing terrace with beautiful sunset views. With no common walls, level lift access to a lock-up garage and 137sqm approx on title, the residence offers a sense of scale and privacy rarely found in apartment living. Wrapped in sunshine, framed by panoramic valley views and finished with an exacting attention to detail, the fourth-floor apartment delivers the feel of a private skyhome while remaining firmly connected to the rhythm and energy of Bondi. * Brand new renovation, flawlessly appointed * Panoramic due-north valley views * 3 balconies and 118sqm of living space * Oak floorboards and ambient lighting * 3 tranquil double bedrooms with built-ins * Master suite with a sunset terrace * Custom-fitted dressing room, ensuite * Taj Mahal marble kitchen, Bosch appliances * Induction cooktop and Blum cabinetry * Sun-filled open plan living and dining * 2 luxurious bathrooms, main with a bath * Taj Mahal vanities, warm brushed nickel tapware * Custom internal laundry, drying balcony * Reverse cycle air, exceptional cross-flow * Auto lock-up garage with ample storage, lift access * 600m to SoBo village, walk to the beach via Martins Avenue * Bondi Public School catchment area"
151381144,946000,Bondi,Apartment,1,1,0,,68.7,1,-33.891033,151.26259,5.506,1.081,1,2026,"Impressive in scale and brimming with character, this beautifully presented apartment delivers a superb blend of lifestyle, privacy and timeless Art Deco appeal. Quietly set to the rear of a boutique block of eight, it reveals an expansive 68.7 sqm layout with warm and welcoming interiors enhanced by polished timber floorboards and high decorative ceilings complemented by wide timber casement windows and picture rails. It features a generous lounge and separate dining plus a sleek stone kitchen with Smeg gas appliances. The well-sized bedroom adjoins a walk-in robe/study/sunroom, while the apartment's top floor setting offers exciting potential to further capitalise with roof space expansion for additional accommodation (STSA). Set between the dynamic energy of Westfield's hub and the iconic Bondi Beach, it is placed a stroll to Bondi Road's shops and cafés, transport and the sand and surf. Property Features: - Wonderfully spacious layout with 68.7 sqm of internal living - Beautifully presented with separate lounge and dining areas - Sleek stone kitchen with Smeg gas appliances & dishwasher - High decorative ceilings, polished timber floorboards - Classic original timber casement windows and picture rails - Well scaled bedroom adjoins sunroom/study/walk-in robe - Stylishly appointed bathroom w/ combined bath and shower - Internal laundry, residents enjoy access to communal gardens - Scope to build into roof for further accommodation (STSA) - Comfortable as is with scope to update to add value (STCA) - Steps to Bondi Road's cafés, gourmet grocers, artisan bakers - Stroll to Waverley Park, city buses, Westfield's vibrant hub - Walk to the iconic Bondi Beach and Bondi Junction Station"
151134268,4001000,Bondi,House,5,2,1,392,,0,-33.89002,151.25903,5.162,1.412,1,2026,"Occupying a substantial 392sqm approx. parcel of level land with prized rear lane access via Flood Lane, this beautifully refreshed residence is a rare offering of remarkable scale, flexibility and enduring family appeal. Showcasing grand proportions throughout, the home combines timeless elegance with exceptional versatility, presenting an outstanding opportunity on one of the area's larger landholdings. A wide entrance hallway immediately establishes a sense of grandeur, leading to stately formal lounge and dining rooms adorned with soaring ornate ceilings and exquisite period detailing. Designed to accommodate growing families with ease, the expansive floorplan reveals multiple living zones, casual family areas, children's play spaces and four oversized upper-level bedrooms. The palatial master retreat opens through dual French doors to a full-width sunroom, creating a luxurious private sanctuary. At the rear, the generous landholding comes into its own, offering beautifully landscaped gardens, sun-washed entertaining areas and valuable rear lane access providing convenience, flexibility and future potential (STCA). A separate studio retreat further enhances the property's family credentials, ideal as a home office, guest accommodation or creative space. Positioned within walking distance of Places of Worship, Bondi Road's vibrant cafés and shopping precinct, with easy access to Bondi Junction, Westfield and Bondi Beach, this is a landmark family home of exceptional scale on a rare level landholding. Property Features: - Substantial 392sqm approx. parcel of level land with rear lane access - Rare oversized family home with exceptional scale and flexibility - Grand formal lounge and dining rooms with soaring ornate ceilings - Multiple casual living areas, family zones and children's playrooms - Four expansive upper-level bedrooms plus separate study - Palatial master retreat with dual French doors to full-width sunroom - Neat gas kitchen, two updated bathrooms and large external laundry - Separate studio retreat/home office with versatile family use - Terrazzo-style paved entertaining areas and landscaped gardens - Rear access via Flood Lane offering convenience and future potential (STCA) - Engineered timber floors, restored period features throughout - Comfortable as is with scope to further enhance and add value (STCA) - Walk to Places of Worship, Bondi Road cafés, shops and transport - Moments to Westfield Bondi Junction, train station and Bondi Beach Council Rates: $646 pq Water Rates: $190 pq Inspect As Advertised or By Appointment In conjunction with Raine & Horne Double Bay | Bondi Beach Ric Serrao 0412 072 178 All information provided is gathered from sources we consider reliable and is provided in good faith; however, no representation or warranty is given as to its accuracy, currency or completeness. Prices, figures, areas, dimensions and availability are subject to change without notice, and any price guide is not a valuation. Interested parties must rely on their own independent enquiries and obtain independent legal, financial and professional advice before making any decision."
151022608,1735000,Bondi,Apartment,3,2,1,,148.9,1,-33.891033,151.26207,5.463,1.129,1,2026,"Impressive in scale and flooded with natural light, this beautifully refreshed apartment combines space, modern comfort and lifestyle excellence in a sought-after Bondi address. It reveals an incredible layout with stylishly appointed interiors dressed in refined neutral tones with crisp white walls and freshly laid wide-plank engineered flooring. A well-equipped kitchen features quality appliances and a walk-in pantry, while designated living and dining zones spill out to an oversized north facing sun bathed entertainers' balcony. The three bedrooms feature built-in or walk-in robes, while there are two bright and airy bathrooms, an internal laundry and split-cycle air conditioning. Set in a well-maintained security building with lift access to lush communal gardens, a pool and lock-up garage, it is placed a stroll to Bondi Road's shops, popular cafés and buses, Bondi Beach and Westfield's vibrant hub. Property Features: - Impressive layout with approx. 148.9sqm altogether on title - Beautifully presented & freshly painted w/ crisp white walls - Wonderfully spacious lounge & dining zones bathed in light - Oversized north facing sun bathed balcony to relax/entertain - Well-equipped kitchen w/ electric cooktop, quality appliances - Walk-in pantry, s/steel dishwasher, ample cupboard space - Three well-scaled bedrooms with built-in or walk-in robes - Two bright and airy bathrooms, main with bath and shower - Spacious study, freshly laid wide-plank engineered flooring - Split cycle air conditioning in main bedroom and living area - Set within the well-maintained `Burleigh' security building - Residents enjoy access to common gardens and swimming pool - Full internal laundry, LED strip lighting, level lift access, lock-up garage - Stroll to Bondi Road's shops and popular cafés, city buses - Walk to iconic Bondi Beach, Westfield's vibrant retail hub"
151097988,4260000,Bondi,House,3,2,0,,,0,-33.896297,151.26581,6.047,0.994,1,2026,"A striking coastal creation by renowned architect Tim Greer, this unique beachside residence occupies a prized setting in one of Bondi's most sought-after neighbourhood pockets. Complementing and contrasting in the most dynamic way, the home is beautifully understated from its original period facade, where timeless character gives little indication of the contemporary transformation within. Showcasing a bold material palette of concrete and rich timber, it reveals a spacious layout featuring an inviting lounge and two well-sized bedrooms on the lower level. Upstairs, the master is appointed with an ensuite and adjoining study, while an open plan kitchen, living and dining zone below is defined by a statement double height ceiling and a seamless connection to a north facing courtyard framed by lush established greenery. It is placed a stroll to shops, cafés, Bondi and Tamarama Beaches. Property Features: - Striking coastal creation by leading architect Tim Greer - Wonderfully spacious layout featuring separate living areas - Double height ceiling, timber accents - Striking living and dining enjoy seamless in/out transitions - Sleek stainless-steel kitchen, Smeg gas cooktop, dishwasher - Private north facing sun bathed courtyard amid lush greenery - Well-proportioned bedrooms with split-cycle air conditioning - Upstairs master retreat with built in wardrobe, ensuite, vast roof storage - Study, stylish bathroom with combined bath/rainwater shower - Heated concrete floors in open plan kitchen, living & dining - Original timber floorboards, preserved fireplace fixtures - Internal laundry, air conditioning in lounge, Tesla Powerwall and solar panels - Ample on-street parking, dual access to Imperial Avenue - Footsteps to Bondi Road's hip bars, cafés, Totti's, buses - Prized Bondi pocket a stroll to Bondi and Tamarama Beaches"
150991856,5416000,Bondi,House,6,4,1,415,,0,-33.890453,151.26065,5.317,1.261,1,2026,"Demonstrating an outstanding sense of tranquillity and relaxation, this stunning family home has been adored by the one family for over 30 years, allowing supreme lifestyle convenience and a slice of modern coastal luxury. Defined by expansive width and volume, the intelligent layout presents numerous family spaces across both levels, epitomised by the vast open-plan living and dining area which seamlessly spills out to the rear entertainers' deck and idyllic garden. The gourmet kitchen is brilliantly equipped for hearty home cooking, while the home also offers six oversized bedrooms, including a luxurious parents' retreat with a walk-in wardrobe and ensuite spa bath. Nestled in a serene Bondi pocket, it is a short stroll from the bustling eateries and cafes of Bondi Road while also walking distance from the beach. Property Features: - Freestanding home of brick construction & large proportions - High ceilings, timber floorboards & natural light throughout - Designated living & dining in an expansive open-plan layout - Entertainers' deck, motorised pergola & landscaped gardens - Generous kitchen with granite benchtops & two dishwashers - Spacious bedrooms with private aspects & built-in wardrobes - Relaxing parents' retreat with lush outlooks & walk-in robe - Sleek bathrooms with tiled surfaces include three bathtubs - Zoned ducted air conditioning & a dedicated laundry room - Oversized automatic garage with storage & internal access - Close to sports ovals & the beach, buses to city & Westfield"
150956808,1280000,Bondi,Apartment,1,1,0,,,1,-33.891922,151.2637,5.642,0.986,1,2026,"Placed among park like grounds, this fabulous apartment promises the finest standards of coastal living with expert design and craftsmanship. It is rare for a one bedroom residence to offer this much outdoor space, presenting a large entertainer's terrace in the courtyard. It is a level stroll from Bondi Road shops and within close proximity of schools, buses and the beach. - Light filled interiors with seamless flow to a full width terrace - Pet friendly ground floor residence with level street access - Sublime finishes enhanced with premium flooring and drapes - Caesarstone benchtops with inset sink, back lit cabinetry - Miele appliances with gas cooktop, integrated dishwasher - Double bedroom with built in wardrobe and outdoor access - Contemporary bathroom with immaculate finishes, internal laundry - Ducted air conditioning, multiple data points, video intercom - Collaboration by acclaimed Smart Design Studio + Mirvac - Walk to restaurants / nightlife along Hall St and Campbell Pde"
150804652,713500,Bondi,Apartment,0,1,1,,,1,-33.89326,151.26152,5.535,1.211,1,2026,"Set in the lively and highly desirable suburb of Bondi, this well-appointed studio delivers a seamless blend of modern comfort, practicality, and coastal charm. Just a short stroll from the famous Bondi Beach, it's an excellent choice for first-home buyers, savvy investors, or those seeking an easy-care beachside lifestyle in one of Sydney's most renowned locations. **Property Highlights:** * Light-filled open-plan living and dining space * Contemporary kitchen featuring quality appliances and generous storage * Well-sized sleeping area with built-in wardrobes and timber flooring throughout * Stylish, updated bathroom with modern finishes * Balcony offering a relaxing outdoor space with refreshing sea breezes * Internal laundry plus air conditioning for added comfort * Secure complex with intercom entry and allocated parking **Location Benefits:** * Easy walk to the beachfront, popular cafés, restaurants, and local shops * Close to Bondi Junction for major retail and amenities * Excellent public transport options, including direct bus routes to the CBD * Surrounded by parks and scenic coastal walking tracks"
